angle,distance
2.3098341819362456,248.25
2.3049254434150113,257.25
2.333014336064295,266.5
2.342013690019891,276.0
2.3692844595823024,286.75
2.3831925520591324,297.25
2.397100644535962,303.75
2.4227351679246287,301.0
2.439643045053324,298.5
2.471822553136969,295.5
2.485457937918175,293.75
2.5151830767412036,291.25
2.538090523173629,289.25
2.561816092692927,287.25
2.5770877236478773,286.0
2.6070855701665296,284.25
2.6209936626433596,283.25
2.6523550476401327,281.75
2.6700810478557,281.0
2.6995334789831045,280.25
2.713441571459934,279.5
2.739076094848601,279.25
2.7688012336716294,278.5
2.792254095495303,278.25
2.800708034059651,278.0
2.822797357405204,278.5
2.8598856040100835,278.75
2.8677941271831826,279.0
2.897246558310587,279.5
2.9070640353530552,279.25
2.9414252050016936,280.5
2.961332866782254,281.0
2.9779680362153247,281.75
3.0008754826477504,285.75
3.0186014828633176,284.25
3.041236221600119,285.5
3.057325975641942,287.25
3.091414437594956,288.75
3.09959566846368,290.75
3.1260483149392186,292.75
3.1421380689810414,295.5
3.164772807717843,298.0
3.186316715672148,300.25
3.21495102371268,302.5
3.2345859777976163,305.25
3.25803883962129,308.25
3.279855455271219,311.25
3.293763547748049,314.75
3.323488686571077,318.0
3.346668840699127,321.5
3.3627585947409497,325.75
3.3886658258252407,330.0
3.4074826568233045,334.25
3.4222088723870066,339.0
3.4478433957756733,344.0
3.464751272904368,349.75
3.488204134728042,347.25
3.51656573507295,348.5
3.5419275507659926,339.25
3.557471889416567,330.75
3.5825609974139856,322.75
3.6027413668901698,315.25
3.6398296134950496,308.0
3.6572829060149927,301.25
3.6859172140555247,295.25
3.71346069131356,289.0
3.732277522311624,283.25
3.760639122656532,278.25
3.770729307394624,273.75
3.798818200043908,269.0
3.8189985695200925,265.0
3.8525416160818584,260.25
3.868085954732433,256.75
3.907355862902305,253.5
3.9081739859891775,250.25
3.9362628786384612,246.75
3.9657153097658657,246.0
3.990804417763284,242.25
4.037437433715008,240.0
4.046436787670603,237.5
4.051618233887462,235.75
4.082434203492986,234.0
4.106432480707909,232.25
4.114068296185383,230.75
4.169973373788327,229.25
4.180608973917668,228.0
4.190153743264512,226.75
4.220151589783164,225.75
4.234059682259994,224.75
4.27960186742922,224.25
4.276056667386108,223.5
4.309327006252249,223.0
4.3455971297702565,222.25
4.36768645311581,222.0
4.377776637853902,222.0
4.388684945678866,222.0
4.433681715456845,222.0
4.4323181769787245,222.5
4.448135223324924,222.75
4.469679131279229,223.0
4.49367740849415,223.75
4.513857777970335,224.75
4.565944947834541,224.75
4.588034271180094,225.75
4.591034055831959,226.75
4.630303964001832,227.5
4.629213133219335,228.75
4.642575810304916,230.25
4.696026518647243,231.25
4.693299441691002,233.25
4.715934180427803,235.5
4.733660180643371,238.75
