angle,distance
3.4077553645189282,267.5
3.4415711187763187,269.25
3.46420585751312,259.0
3.485477057771801,255.25
3.5195655197248152,251.5
3.538109643027255,248.5
3.5705618588065247,245.75
3.605741151542035,243.0
3.5918330590652054,240.25
3.6231944440619785,237.75
3.6491016751462695,235.5
3.6717364138830706,233.5
3.6910986602723828,231.5
3.7385497993109786,229.75
3.747003737875326,228.0
3.7810921998283407,226.5
3.803181523173894,225.25
3.805908600130135,223.75
3.8470874621693762,223.0
3.857177646907468,221.75
3.863722631602447,221.25
3.887720908817369,220.5
3.935172047855965,220.0
3.9572613712015183,219.5
3.952352632680284,219.25
4.001440017892625,219.0
4.023529341238178,219.0
4.0303470336287806,218.75
4.052981772365582,219.0
4.089524603579213,219.25
4.1116139269247665,219.5
4.13370325027032,219.75
